full_name,phone,day,time
Taa Taa,1234567891,2026-04-26 (Sunday),8:00
Aaa Aaa,1234567898,2026-04-26 (Sunday),7:00
Aaa Aaa,1234567898,2026-04-26 (Sunday),7:30
Rrr Rrr,1233211232,2026-04-26 (Sunday),8:30
Uuu Uuu,4564564565,2026-04-26 (Sunday),9:00
Sdd Sdd,9877899875,2026-04-26 (Sunday),10:00
Fff Fff,3211236545,2026-04-26 (Sunday),10:30
Qqq Qqq,9999999999,2026-04-26 (Sunday),11:00
Wew Wew,2222222222,2026-04-26 (Sunday),11:30
Eee Eee,1231231231,2026-04-26 (Sunday),12:00
Yyy Yyy,1111111111,2026-04-26 (Sunday),12:30
